id,brand,title,sold_price,actual_price,url,img
488,Flysales®,"Flysales® Black Flexible Metal Wavy,Spring Zig Zag,Chain and Simple Hair Band Hair Hoop Hairband Daily Use for Unisex Men ...",₹249,₹349,https://www.amazon.in/Flysales%C2%AE-Flexible-Spring-Hairband-Design_1/dp/B0BCZ318HD/ref=sr_1_2322?qid=1679212387&s=apparel&sr=1-2322,https://m.media-amazon.com/images/W/IMAGERENDERING_521856-T2/images/I/71pOMUlaJiL._AC_UL320_.jpg
489,IZU/,"IZU/ Digital Dial Waterproof Smart Design LED Display Kids Watch for Boys & Girls, Stylish and Fashionable Sports Wearable...",₹325,₹999,https://www.amazon.in/IZU-Waterproof-Fashionable-Wearable-Children/dp/B0BXKQDCD4/ref=sr_1_2323?qid=1679212387&s=apparel&sr=1-2323,https://m.media-amazon.com/images/W/IMAGERENDERING_521856-T2/images/I/51U4XIMKLWL._AC_UL320_.jpg
490,Peter,"Peter England Men's Cotton Full Length Socks (Pack of 3) Navy, Black, Dark Grey",₹399,₹399,https://www.amazon.in/Peter-England-Mens-Socks-Pack/dp/B01N9Q9VG3/ref=sr_1_2324?qid=1679212387&s=apparel&sr=1-2324,https://m.media-amazon.com/images/W/IMAGERENDERING_521856-T2/images/I/51vBZ53-w6L._AC_UL320_.jpg
491,AILIHEN,AILIHEN I35 Kid Headphones with Microphone Volume Limited 85dB Children Girls Boys Teen Lightweight Foldable Wired Headset...,"₹4,723","₹9,200",https://www.amazon.in/AILIHEN-Headphones-Microphone-Lightweight-Cellphones/dp/B07M7YHVMP/ref=sr_1_2325?qid=1679212387&s=apparel&sr=1-2325,https://m.media-amazon.com/images/W/IMAGERENDERING_521856-T2/images/I/71Usn9BSvNL._AC_UL320_.jpg
492,V-Guard,"V-Guard VG 400 for 1.5 Ton A.C (170V to 270V) Original 3 Year onsite wrranty,White","₹1,712","₹2,750",https://www.amazon.in/V-Guard-170V-Original-onsite-wrranty/dp/B089YC1QMD/ref=sr_1_2326?qid=1679212387&s=apparel&sr=1-2326,https://m.media-amazon.com/images/W/IMAGERENDERING_521856-T2/images/I/31xRPjdBD3L._AC_UL320_.jpg
493,RASAFA,"RASAFA Alluring 6 Pipe Bangle Boxes Rose Printed, Cosmetic Box, Storage Organizer Vanity Box (Grey, Multicolor)",₹559,₹799,https://www.amazon.in/Alluring-Printed-Cosmetic-Organizer-Multicolor/dp/B0B7S5G32S/ref=sr_1_2327_mod_primary_new?qid=1679212387&s=apparel&sbo=RZvfv%2F%2FHxDF%2BO5021pAnSA%3D%3D&sr=1-2327,https://m.media-amazon.com/images/W/IMAGERENDERING_521856-T2/images/I/61c6hbfJVSL._AC_UL320_.jpg
494,Allen,Allen Solly Men's Handkerchief - Pack of 3 (White Royal Blue),₹349,₹349,https://www.amazon.in/Allen-Solly-Mens-Handkerchief-Pack/dp/B01GG074DS/ref=sr_1_2328?qid=1679212387&s=apparel&sr=1-2328,https://m.media-amazon.com/images/W/IMAGERENDERING_521856-T2/images/I/518+bmnu2VL._AC_UL320_.jpg
495,Pravyta,Pravyta Multifunctional Bra Underwear Organizer Bag Slide Portable Cosmetic Makeup Lingerie Toiletry Travel Bag (multi-col...,₹299,₹499,https://www.amazon.in/Pravyta-Multifunctional-Underwear-Organizer-Portable/dp/B08KH386XV/ref=sr_1_2329?qid=1679212387&s=apparel&sr=1-2329,https://m.media-amazon.com/images/W/IMAGERENDERING_521856-T2/images/I/51NgqgCSpiL._AC_UL320_.jpg
496,Fastrack,Fastrack Reflex 3.0 Digital Black Dial Unisex-Adult Watch-SWD90067PP01A,"₹1,617","₹2,995",https://www.amazon.in/Fastrack-Reflex-Digital-Unisex-Adult-Watch-SWD90067PP01A/dp/B08W1Q9JG6/ref=sr_1_2330?qid=1679212387&s=apparel&sr=1-2330,https://m.media-amazon.com/images/W/IMAGERENDERING_521856-T2/images/I/71HkupULtKL._AC_UL320_.jpg
497,Scotch-Brite,Scotch-Brite Bathroom Squeegee Plastic Wiper(30 cm)(Green),₹385,₹425,https://www.amazon.in/Scotch-Brite-IE840159255-Bathroom-Squeegee-Wiper/dp/B00NBM3IE4/ref=sr_1_2331?qid=1679212387&s=apparel&sr=1-2331,https://m.media-amazon.com/images/W/IMAGERENDERING_521856-T2/images/I/5121NNZG-tS._AC_UL320_.jpg
